Axis,Line Label,X,Y,Marker,Marker Size,Marker Face Color,Marker Edge Color
Axes 1,$69.3 < \lambda \leq 140$,31.240849699398836,0.27646886658857217,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,34.8455631262525,0.28819876814577655,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,38.450276553106164,0.30055934315871674,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,42.05498997995994,0.3135482372996448,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,45.659703406813605,0.3271417386814129,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,49.26441683366738,0.3412980054975107,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,52.86913026052105,0.3559626602553574,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,56.47384368737471,0.3710755388172668,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,60.07855711422849,0.3865771423321282,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,63.68327054108215,0.4024134569547589,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,67.28798396793593,0.4185382481231699,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,70.8926973947896,0.43491258125242116,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,74.49741082164326,0.4515019938282129,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,78.10212424849703,0.4682722691494243,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,81.7068376753507,0.4851850139364669,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,85.31155110220436,0.5021941790530318,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,88.91626452905814,0.5192443327836999,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,92.5209779559118,0.5362710158219551,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,96.12569138276558,0.5532030208200226,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,99.73040480961924,0.5699660747017664,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,103.33511823647291,0.5864872341905759,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,106.93983166332669,0.6026993406114604,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,110.54454509018035,0.618545062827739,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,114.14925851703413,0.6339802934174712,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,117.75397194388779,0.6489768563667786,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,121.35868537074145,0.6635245684399609,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,124.96339879759523,0.677632655825145,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,128.5681122244489,0.6913304006441614,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,132.17282565130267,0.7046667528416091,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,135.77753907815634,0.7177085732216092,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,139.38225250501,0.7305372299919656,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,142.98696593186378,0.743243464693322,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,146.59167935871744,0.7559207332238428,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,150.1963927855711,0.7686575359593563,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,153.80110621242488,0.7815294897536044,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,157.40581963927855,0.7945919958431911,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,161.01053306613233,0.8078742952091025,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,164.615246492986,0.8213754989829177,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,168.21995991983965,0.8350628964973044,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,171.82467334669343,0.8488725542896575,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,175.4293867735471,0.8627119933125433,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,179.03410020040087,0.8764646068522446,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,182.63881362725454,0.8899954575534385,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,186.2435270541082,0.9031581328204259,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,189.84824048096198,0.9158023877274637,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,193.45295390781564,0.9277823082315165,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,197.0576673346693,0.9389646519408681,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,200.66238076152308,0.9492368734526178,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,204.26709418837675,0.9585141620912818,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,207.87180761523052,0.9667446880909875,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,211.4765210420842,0.9739122518652477,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,215.08123446893785,0.9800357188429907,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,218.68594789579163,0.9851650065793885,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,222.2906613226453,0.9893739139077948,None,6.0,#FFA600,#FFA600
Axes 1,$69.3 < \lambda \leq 140$,225.89537474949907,0.9927506303326628,None,6.0,#FFA600,#FFA600
